char,advance_width,bearing_x,bearing_y,width,height,path
 ,11.883 ,-7.000 ,7.000 ,0 ,0 ,U+0020.png
!,12.352 ,-4.000 ,8.000 ,19 ,48 ,U+0021.png
34,15.352 ,-4.000 ,-17.000 ,23 ,25 ,U+0022.png
#,29.555 ,-5.000 ,7.000 ,40 ,48 ,U+0023.png
$,26.953 ,-5.000 ,12.000 ,35 ,58 ,U+0024.png
%,35.156 ,-5.000 ,8.000 ,44 ,49 ,U+0025.png
&,29.836 ,-5.000 ,8.000 ,41 ,49 ,U+0026.png
',8.367 ,-5.000 ,-17.000 ,17 ,25 ,U+0027.png
(,16.406 ,-4.000 ,19.000 ,26 ,63 ,U+0028.png
),16.688 ,-7.000 ,19.000 ,26 ,63 ,U+0029.png
*,20.672 ,-7.000 ,-7.000 ,33 ,33 ,U+002A.png
+,27.211 ,-6.000 ,4.000 ,37 ,38 ,U+002B.png
44,9.422 ,-7.000 ,14.000 ,20 ,25 ,U+002C.png
-,13.242 ,-7.000 ,-5.000 ,25 ,17 ,U+002D.png
.,12.633 ,-4.000 ,8.000 ,19 ,19 ,U+002E.png
/,19.781 ,-7.000 ,10.000 ,31 ,51 ,U+002F.png
0,26.953 ,-5.000 ,8.000 ,35 ,49 ,U+0030.png
1,26.953 ,-4.000 ,7.000 ,27 ,48 ,U+0031.png
2,26.953 ,-5.000 ,7.000 ,37 ,48 ,U+0032.png
3,26.953 ,-5.000 ,8.000 ,35 ,49 ,U+0033.png
4,26.953 ,-6.000 ,7.000 ,38 ,48 ,U+0034.png
5,26.953 ,-4.000 ,8.000 ,35 ,48 ,U+0035.png
6,26.953 ,-4.000 ,8.000 ,35 ,48 ,U+0036.png
7,26.953 ,-6.000 ,7.000 ,37 ,48 ,U+0037.png
8,26.953 ,-5.000 ,8.000 ,35 ,49 ,U+0038.png
9,26.953 ,-5.000 ,8.000 ,35 ,48 ,U+0039.png
:,11.625 ,-4.000 ,8.000 ,19 ,39 ,U+003A.png
;,10.148 ,-7.000 ,14.000 ,21 ,46 ,U+003B.png
<,24.398 ,-6.000 ,3.000 ,33 ,35 ,U+003C.png
=,26.344 ,-4.000 ,-2.000 ,33 ,27 ,U+003D.png
>,25.078 ,-4.000 ,3.000 ,34 ,35 ,U+003E.png
?,22.664 ,-6.000 ,8.000 ,33 ,48 ,U+003F.png
@,43.102 ,-5.000 ,18.000 ,52 ,58 ,U+0040.png
A,31.312 ,-7.000 ,7.000 ,44 ,48 ,U+0041.png
B,29.883 ,-4.000 ,7.000 ,37 ,48 ,U+0042.png
C,31.242 ,-5.000 ,8.000 ,40 ,49 ,U+0043.png
D,31.477 ,-4.000 ,7.000 ,38 ,48 ,U+0044.png
E,27.281 ,-4.000 ,7.000 ,35 ,48 ,U+0045.png
F,26.531 ,-4.000 ,7.000 ,35 ,48 ,U+0046.png
G,32.695 ,-5.000 ,8.000 ,40 ,49 ,U+0047.png
H,34.219 ,-4.000 ,7.000 ,40 ,48 ,U+0048.png
I,13.055 ,-3.000 ,7.000 ,18 ,48 ,U+0049.png
J,26.484 ,-6.000 ,8.000 ,35 ,48 ,U+004A.png
K,30.094 ,-4.000 ,7.000 ,40 ,48 ,U+004B.png
L,25.828 ,-4.000 ,7.000 ,34 ,48 ,U+004C.png
M,41.906 ,-4.000 ,7.000 ,47 ,48 ,U+004D.png
N,34.219 ,-4.000 ,7.000 ,40 ,48 ,U+004E.png
O,33.000 ,-5.000 ,8.000 ,41 ,49 ,U+004F.png
P,30.281 ,-4.000 ,7.000 ,38 ,48 ,U+0050.png
Q,33.000 ,-5.000 ,13.000 ,41 ,54 ,U+0051.png
R,29.555 ,-4.000 ,7.000 ,38 ,48 ,U+0052.png
S,28.477 ,-6.000 ,8.000 ,38 ,49 ,U+0053.png
T,28.641 ,-6.000 ,7.000 ,40 ,48 ,U+0054.png
U,31.125 ,-4.000 ,8.000 ,38 ,48 ,U+0055.png
V,30.539 ,-7.000 ,7.000 ,43 ,48 ,U+0056.png
W,42.586 ,-6.000 ,7.000 ,54 ,48 ,U+0057.png
X,30.094 ,-6.000 ,7.000 ,41 ,48 ,U+0058.png
Y,28.828 ,-7.000 ,7.000 ,42 ,48 ,U+0059.png
Z,28.734 ,-5.000 ,7.000 ,38 ,48 ,U+005A.png
[,12.727 ,-4.000 ,15.000 ,22 ,60 ,U+005B.png
\,19.688 ,-7.000 ,10.000 ,32 ,51 ,U+005C.png
],12.727 ,-7.000 ,15.000 ,22 ,60 ,U+005D.png
^,20.062 ,-6.000 ,-10.000 ,30 ,31 ,U+005E.png
_,21.656 ,-7.000 ,11.000 ,35 ,17 ,U+005F.png
`,14.836 ,-6.000 ,-22.000 ,23 ,20 ,U+0060.png
a,26.109 ,-5.000 ,8.000 ,34 ,40 ,U+0061.png
b,26.930 ,-4.000 ,8.000 ,35 ,50 ,U+0062.png
c,25.125 ,-5.000 ,8.000 ,35 ,40 ,U+0063.png
d,27.070 ,-5.000 ,8.000 ,35 ,50 ,U+0064.png
e,25.430 ,-5.000 ,8.000 ,35 ,40 ,U+0065.png
